3,L,1
0,L,2
0,L,3
4,M,4
0,M,5
3,S,6
0.2,S,6
0.2,S,6
2,S,7
0.2,S,7
0.2,S,7
3,M,4
0,M,5
0.2,M,4
0,M,5
3,M,4
0,M,5
0.2,M,4
0,M,5
0,S,6
0.2,S,7
0,S,6
0.2,S,7
0,S,6
0.2,S,7
0,S,6
0.2,S,7
0,S,6
0.2,S,7
0,S,6
0.2,S,7
0,S,6
0.2,S,7
0,S,6
0.2,S,7
0,S,6
0.2,S,7
0,S,6
0.2,S,7
2,BL,8
0,BL,9
1,BS,10
1,BS,10
1,BS,10
4,L,1
0,L,2
0,L,3
2,M,4
0,M,5
0.2,M,4
0,M,5
2,S,1
0,S,2
0,S,3
0,S,4
0,S,5
0,S,6
0,S,7
2,S,1
0,S,2
0,S,3
0,S,4
0,S,5
0,S,6
3,M,4
0.2,M,4
0.2,M,4
3,M,5
0.2,M,5
0.2,M,5
1,BS,10
1,BS,10
1,BS,10
4,BL,8
0,BL,9
0,BA,0
